accession	virus	strain	country	date
MK128995.1	African swine fever virus	China/2018/AnhuiXCGQ	China	2018-09-02
MK333180.1	African swine fever virus	Pig/HLJ/2018	China	2018-09-05
OR958825.1	African swine fever virus	China/LN/2018/2	China	2018-10-16
MK645909.1	African swine fever virus	ASFV-wbBS01	China	2018-11-01
ON075797.1	African swine fever virus	Korea/YC1/2019	South Korea	2019-XX-XX
OR271566.1	African swine fever virus	Mon_Dom	Mongolia	2019-01-XX
MK940252.1	African swine fever virus	CN/2019/InnerMongolia-AES01	China	2019-02-19
OQ737679.1	African swine fever virus	pig/HuB1/2019	China	2019-05-14
OR162436.1	African swine fever virus	Korea/CW714/2020	South Korea	2020-XX-XX
OR159217.1	African swine fever virus	S-S-VR-413000-00015	South Korea	2020-XX-XX
OR159218.1	African swine fever virus	S-S-VR-413000-00008	South Korea	2020-XX-XX
OR159219.1	African swine fever virus	S-S-VR-413000-00002	South Korea	2020-XX-XX
OL322099.1	African swine fever virus	Vietnam/Pig/RG-4/01	Viet Nam	2020-XX-XX
OL322100.1	African swine fever virus	Vietnam/Pig/RG-5/01	Viet Nam	2020-XX-XX
OL322101.1	African swine fever virus	Vietnam/Pig/RG-6/01	Viet Nam	2020-XX-XX
OL322102.1	African swine fever virus	Vietnam/Pig/RG-7/01	Viet Nam	2020-XX-XX
MW465755.1	African swine fever virus	VNUA-ASFV-05L1/HaNam/VN/2020	Viet Nam	2020-XX-XX
OK236383.1	African swine fever virus	ASF/IND/20/CAD/543	India	2020-02-XX
OL622042.1	African swine fever virus	wild boar/SNJ/2020	China	2020-03-03
MW521382.1	African swine fever virus	HuB20	China	2020-10-01
OR180305.1	African swine fever virus	Korea/PC1432/2021	South Korea	2021-XX-XX
OR604566.1	African swine fever virus	K1-1/Liver/Kupang/Indonesia/ 2023	Indonesia	2023-05-XX
